,enriched_smiles,name
252,[Li]<-[As](c1ccccc1)(c1ccccc1)C(C[N+](=O)[O-])c1ccccc1,ligand1651-0
253,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)CCN1c1c(C(C)C)cc(C#C)cc1C(C)C,ligand1654-0
254,[Li]<-N#Cc1c(C(C)C)cc(C(C)C)cc1C(C)C,ligand1665-0
255,[Be]=[C](CCCCCCC)N1Cc2ccccc2C1,ligand1665-0
256,[Be]=[C](NCc1ccccn1)Nc1c(C)cccc1C,ligand1678-0
257,[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccn1,ligand1687-0
258,[Li]<-n1ccccc1-c1ccccc1,ligand1693-0
259,[Li]<-P1(c2ccccc2)C=CC(C)(C)c2ccccc21,ligand1699-0
260,[Li]<-O=C(C)C,ligand1712-0
261,[Li]<-N(C)(C)Cc1ccccc1,ligand866-0
262,[Be]=[C]1N(Cc2ccccc2OC)CCN1c1c(C)cc(C)cc1C,ligand1724-0
263,[Li]<-n1cccc(C)c1N,ligand135-0
264,[Li]<-S=C1NCCN1CCCC,ligand1731-0
265,[Be]=[C]1N(CCCCC#N)c2ccccc2N1CCCCCC#N,ligand1737-0
266,[Li]<-n1cn(C)c2c(=O)[nH]c(N)nc21,ligand1743-0
267,[Li]<-P(CP(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ligand1752-0
268,[Li]<-n1cn(C)c(-c2ccccc2)c1-c1ccccc1,ligand1757-0
269,[Li]<-P(O)(c1ccccc1)C(C)(C)C,ligand1759-0
270,[Li]<-N1=C(c2ccccc2)ON(C)C1c1ccccc1,ligand1760-0
271,[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccc1C=O,ligand1767-0
272,[Li]<-N=CCC,ligand1781-0
273,[Li]<-n1ccn(CCCN2C(=O)c3cccc4cccc(c34)C2=O)c1,ligand1801-0
274,[Li]<-Nc1ccc(C(=O)O)cc1,ligand1810-0
275,[Li]<-n1c(C)cc(C)n1C(=O)c1ccccc1C,ligand1816-0
276,[Li]<-n1ccc(N)cc1,ligand522-0
277,[Li]<-N#Cc1ccccc1,ligand1531-0
278,[Li]<-[Se](Cc1c(C)cc(C)cc1C)c1ccccc1,ligand1824-0
279,[Li]<-P(c1ccccc1)(c1ccccc1)c1c(-c2ccccc2)nnn1-c1ccccc1,ligand1825-0
280,[Li]<-[As](c1ccccc1)(c1ccccc1)c1ccccc1O,ligand1830-0
281,[Li]<-p1c(OC)c2ccccc2c2ccccc21,ligand1833-0
282,[Li]<-P1(c2ccccc2)C=C(C)C(=C)C1,ligand1853-0
283,[Li]<-P(CC(C)C)CC(C)C,ligand1855-0
284,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C=C2C=Cc3cccc(OCc4ccccc4)c3N12,ligand1856-0
285,[Li]<-n1n[nH]c(-c2ccc(C=O)cc2)n1,ligand1859-0
