tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES
ligand342-0,[H]c1c(-c2nn([H])c([H])c2[H])nc(-c2nn([H])c([H])c2[H])c([H])c1[H],"[[7], [9]]",c1cc(-c2cc[nH]n2)n2->[Ir]<-n3[nH]ccc3-c2c1
ligand347-0,[H]c1nc(-c2nc(-c3c([H])c([H])c([H])c([H])c3[H])n([H])n2)c([H])c([H])c1[H],"[[0], [10]]",c1ccc(-c2[nH]nc3-c4ccccn4->[Ir]<-n32)cc1
ligand354-0,[H]c1nc2c(c([H])c1[H])c(-c1c(C([H])([H])[H])sc([H])c1[H])c(-c1c(C([H])([H])[H])sc([H])c1[H])c1c([H])c([H])c([H])nc12,"[[20], [27]]",Cc1sccc1-c1c(-c2ccsc2C)c2cccn3->[Ir]<-n4cccc1c4c23
ligand364-0,[H]c1nc(-c2nn([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c2[H])c([H])c([H])c1[H],"[[0], [10]]",c1ccc(-c2cc3-c4ccccn4->[Ir]<-n3[nH]2)cc1
ligand365-0,[H]C([H])([H])C([H])(P(C([H])([H])C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],"[[0], [25]]",CC(C)P1(CCP(->[Ir]<-1)(C(C)C)C(C)C)C(C)C
ligand371-0,[H]c1c(C([H])([H])[H])nn(C([H])(n2nc(C([H])([H])[H])c([H])c2C([H])([H])[H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1C([H])([H])[H],"[[17], [20]]",Cc1cc(C)n2->[Ir]<-n3c(C)cc(C)n3C(n12)[Si](C)(C)C
ligand372-0,[H]c1c([H])c([H])c(P(=S)(C2=PC(=P(c3c([H])c([H])c([H])c([H])c3[H])(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c32)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],"[[0], [5]]",c1ccc(P2(=S->[Ir]<-P3=C2c2ccccc2C3=P(c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1
ligand373-0,[H]N1C(C2=NC([H])([H])C([H])([H])N2[H])=NC([H])([H])C1([H])[H],"[[0], [9]]",C1CN2->[Ir]<-N3=C(C=2N1)NCC3
ligand374-0,[H]C1([H])P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])P1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],"[[0], [11]]",CC(C)(C)P12->[Ir]<-P(C(C)(C)C)(C[Si](C)(C)C1)C2
ligand375-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])[H])C([H])=C1[H],"[[3], [38]]",CN1CCCN(C)P(->[Ir]<-P1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
ligand388-0,[H]/C(=N\c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])C1(/C([H])=N/c2c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],"[[0], [14]]",CC(C)c1cccc(C(C)C)c1N1=CC2(C=N(->[Ir]<-1)c1c(C(C)C)cccc1C(C)C)CCCC2
ligand391-0,[H]C([H])([H])P(C([H])([H])[H])C([H])([H])C([H])([H])P(C([H])([H])[H])C([H])([H])[H],"[[0], [13]]",CP1(C)CCP(C)(C)->[Ir]<-1
ligand397-0,[H]C1=C(/N=C(\[H])C2=C([H])C([H])=C([H])N2P(N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C(C([H])([H])[H])C([H])=C1C([H])([H])[H],"[[0], [27]]",Cc1cc(C)cc(N2=Cc3cccn3P(->[Ir]<-2)(N(C(C)C)C(C)C)N(C(C)C)C(C)C)c1
ligand400-0,[H]c1c([H])c([H])c(-c2nc3c([H])c([H])c([H])c([H])c3n2[H])c(-c2nc3c([H])c([H])c([H])c([H])c3n2[H])c1[H],"[[0], [24]]",c1ccc2-c3[nH]c4ccccc4n3->[Ir]<-n3c(-c2c1)[nH]c1ccccc13
