,enriched_smiles,name
203,[Ir]<-S=C1SC2CCCCC2SC1=S->[Ir],ligand1477-1
204,[Be]=[C]1N(CCOc2ccccc2OCCN2C=CN(Cc3cccc4ccccc34)[C]2=[Be])C=CN1Cc1cccc2ccccc12,ligand1482-0
205,CN(->[Ir])C1CCN(C)(->[Ir])CC1,ligand1485-0
206,CC(C)c1cccc(C(C)C)c1N(->[Ir])=Cc1ccccn1->[Ir],ligand1490-0
207,[Ir]<-P(CP(->[Ir])(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1,ligand1499-0
208,[Ir]<-n1ccccc1Nc1ccccn1->[Ir],ligand1502-0
209,[Ir]<-N(=Cc1ccc2ccccc2n1->[Ir])C1CCCC1,ligand1510-0
210,CC(CC(C)P(->[Ir])(c1ccccc1)c1ccccc1)P(->[Ir])(c1ccccc1)c1ccccc1,ligand1512-0
211,[Ir]<-n1ccccc1-c1ccn(Cc2cccc3ccccc23)n1->[Ir],ligand1525-0
212,[Ir]<-n1ccccc1Cn1cc(-c2ccccc2)nn1->[Ir],ligand1526-0
213,[Be]=[C](CS(C)->[Ir])N(C)C,ligand1533-0
214,COC(=O)CN(->[Ir])CCN(->[Ir])CC(=O)OC,ligand1552-0
215,Cn1c(-c2ccccc2N->[Ir])n(->[Ir])c2ccccc21,ligand1556-0
216,CN(C)C(N(C)C)=N(->[Ir])c1cccc2cccn(->[Ir])c12,ligand1558-0
217,Fc1c(F)c(F)c(P(->[Ir])(CCP(->[Ir])(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,ligand1573-0
218,[Ir]<-n1ccn(CCOCCOCCOCCn2ccn(->[Ir])c2)c1,ligand1579-0
219,CC(C)(C)C1=CC=C(C(C)(C)C)C(=O->[Ir])C1=O->[Ir],ligand1599-1
220,COCCCN(Cn1cccn1->[Ir])Cn1cccn1->[Ir],ligand1603-0
221,Cc1cn(->[Ir])c2c(ccc3c(C)c(C)cn(->[Ir])c32)c1C,ligand1610-0
222,Cc1ccc(-c2[nH]nc(-c3ccccn3->[Ir])n2->[Ir])cc1,ligand1619-0
223,OC(CN->[Ir])CN->[Ir],ligand1632-0
